# Deep-sky objects — format: id,name,ra_hours,dec_degrees,magnitude,type
# To expand: replace with OpenNGC CSV (github.com/mattiaverga/OpenNGC)
# Type codes: oc=open cluster  gc=globular cluster  neb=nebula  gal=galaxy  pn=planetary nebula
#
# DSOs from OpenNGC — id,name,ra_hours,dec_degrees,magnitude,type
NGC1079,NGC 1079,2.728983,-29.003361,11.44,gal
NGC1084,NGC 1084,2.766642,-7.578472,10.6,gal
NGC1087,NGC 1087,2.773656,-0.498639,11.02,gal
NGC1090,NGC 1090,2.776094,-0.247167,11.97,gal
NGC1097,NGC 1097,2.771958,-30.274889,9.76,gal
NGC1156,NGC 1156,2.995083,25.237833,11.63,gal
NGC1161,NGC 1161,3.020592,44.897333,11.89,gal
NGC1169,NGC 1169,3.059653,46.386361,11.41,gal
NGC1172,NGC 1172,3.026681,-14.836583,11.75,gal
NGC1179,NGC 1179,3.044022,-18.897778,12.0,gal
NGC1187,NGC 1187,3.043775,-22.867167,10.92,gal
NGC1199,NGC 1199,3.060669,-15.613194,11.43,gal
NGC1201,NGC 1201,3.068883,-26.069639,10.81,gal
NGC1209,NGC 1209,3.100839,-15.611250,11.38,gal
NGC1232,NGC 1232,3.162642,-20.579306,10.11,gal
NGC1249,NGC 1249,3.167008,-53.335750,11.77,gal
NGC1253,NGC 1253,3.235847,-2.822944,11.78,gal
NGC1255,NGC 1255,3.225567,-25.725167,11.17,gal
NGC1265,NGC 1265,3.304350,41.857750,11.92,gal
NGC1269,NGC 1269,3.288497,-41.108056,8.7,gal
NGC1272,NGC 1272,3.322581,41.490639,11.88,gal
NGC1300,NGC 1300,3.328078,-19.411361,10.52,gal
NGC1302,NGC 1302,3.330883,-26.060444,10.63,gal
NGC1305,NGC 1305,3.356381,-2.316833,11.97,gal
NGC1309,NGC 1309,3.368489,-15.400056,11.58,gal
NGC1313,NGC 1313,3.304458,-66.498250,9.49,gal
NGC1316,Fornax A,3.378256,-37.208222,8.48,gal
NGC1317,Fornax B,3.378969,-37.103694,10.88,gal
NGC1325,NGC 1325,3.407103,-21.544028,11.54,gal
NGC1326,NGC 1326,3.399000,-36.464667,10.45,gal
NGC1332,NGC 1332,3.438125,-21.335222,10.36,gal
NGC1333,NGC 1333,3.482000,31.370000,10.9,oc
NGC1339,NGC 1339,3.468494,-32.286111,11.75,gal
NGC1340,NGC 1340,3.472131,-31.068167,10.37,gal
NGC1350,NGC 1350,3.518922,-33.628639,10.31,gal
NGC1351,NGC 1351,3.509717,-34.853944,11.46,gal
NGC1353,NGC 1353,3.534172,-20.819167,11.46,gal
NGC1357,NGC 1357,3.554744,-13.664139,11.44,gal
NGC1360,NGC 1360,3.554069,-25.871722,9.4,pn
NGC1365,NGC 1365,3.560103,-36.140389,10.1,gal
NGC1366,NGC 1366,3.564911,-31.194111,11.91,gal
NGC1367,NGC 1367,3.583706,-24.933222,10.66,gal
NGC1374,NGC 1374,3.587942,-35.226250,11.14,gal
NGC1379,NGC 1379,3.601097,-35.441194,11.02,gal
NGC1380,NGC 1380,3.607664,-34.976222,9.94,gal
NGC1381,NGC 1381,3.608800,-35.295194,11.47,gal
NGC1385,NGC 1385,3.624681,-24.500306,11.03,gal
NGC1386,NGC 1386,3.612828,-35.999417,11.86,gal
NGC1387,NGC 1387,3.615850,-35.506639,10.75,gal
NGC1389,NGC 1389,3.619939,-35.745583,11.51,gal
NGC1395,NGC 1395,3.641597,-23.027528,9.65,gal
NGC1398,NGC 1398,3.647814,-26.337833,9.55,gal
NGC1399,NGC 1399,3.641397,-35.450667,9.4,gal
NGC1400,NGC 1400,3.658567,-18.688083,11.06,gal
NGC1404,NGC 1404,3.647756,-35.594389,9.93,gal
NGC1406,NGC 1406,3.656472,-31.321417,11.82,gal
NGC1407,NGC 1407,3.669961,-18.580111,9.65,gal
NGC1411,NGC 1411,3.645797,-44.100611,11.19,gal
NGC1415,NGC 1415,3.682461,-22.564472,11.53,gal
NGC1421,NGC 1421,3.708133,-13.488028,11.52,gal
NGC1425,NGC 1425,3.703186,-29.893333,10.7,gal
NGC1426,NGC 1426,3.713642,-22.108361,11.47,gal
NGC1427,NGC 1427,3.705394,-35.392556,10.88,gal
NGC1433,NGC 1433,3.700431,-47.222083,9.95,gal
NGC1436,NGC 1436,3.726967,-35.853028,11.69,gal
NGC1439,NGC 1439,3.747208,-21.920556,11.39,gal
NGC1440,NGC 1440,3.750808,-18.266028,11.63,gal
NGC1448,NGC 1448,3.742200,-44.644833,10.94,gal
NGC1452,NGC 1452,3.756197,-18.633639,11.84,gal
NGC1453,NGC 1453,3.774236,-3.968778,11.41,gal
NGC1461,NGC 1461,3.807539,-16.392889,11.81,gal
NGC1487 NED01,NGC 1487,3.929269,-42.367694,11.9,gal
